2024-01-12 21:14:39.794192,"['35.00', '0.66', '15.92']"
2024-01-12 21:14:40.796419,"['134.00', '0.65', '15.43']"
2024-01-12 21:14:41.799231,"['134.00', '0.65', '15.43']"
2024-01-12 21:14:42.802112,"['134.00', '0.65', '15.43']"
2024-01-12 21:14:43.805308,"['134.00', '0.65', '15.43']"
2024-01-12 21:14:44.806698,"['135.00', '0.66', '15.92']"
2024-01-12 21:14:45.810208,"['0', '0.66', '15.92']"
2024-01-12 21:14:46.813812,"['135.00', '0.66', '15.92']"
2024-01-12 21:14:47.817955,"['134.00', '0.65', '15.43']"
2024-01-12 21:14:48.822061,"['134.00', '0.65', '15.43']"
2024-01-12 21:14:49.826312,"['134.00', '0.65', '15.43']"
2024-01-12 21:14:50.830434,"['134.00', '0.65', '15.43']"
2024-01-12 21:14:51.834892,"['135.00', '0.66', '15.92']"
2024-01-12 21:14:52.836678,"['133.00', '0.65', '14.94']"
2024-01-12 21:14:53.838546,"['134.00', '0.65', '15.43']"
2024-01-12 21:14:54.840316,"['135.00', '0.66', '15.92']"
2024-01-12 21:14:55.842088,"['134.00', '0.65', '15.43']"
2024-01-12 21:14:56.846398,"['134.00', '0.65', '15.43']"
2024-01-12 21:14:57.850718,"['134.00', '0.65', '15.43']"
2024-01-12 21:14:58.854994,"['135.00', '0.66', '15.92']"
2024-01-12 21:14:59.858058,"['134.00', '0.65', '15.43']"
2024-01-12 21:15:00.862208,"['134.00', '0.65', '15.43']"
2024-01-12 21:15:01.866507,"['134.00', '0.65', '15.43']"
2024-01-12 21:15:02.870897,"['134.00', '0.65', '15.43']"
2024-01-12 21:15:03.874971,"['135.00', '0.66', '15.92']"
2024-01-12 21:15:04.876750,"['134.00', '0.65', '15.43']"
2024-01-12 21:15:05.880825,"['134.00', '0.65', '15.43']"
2024-01-12 21:15:06.884859,"['134.00', '0.65', '15.43']"
2024-01-12 21:15:07.888831,"['134.00', '0.65', '15.43']"
2024-01-12 21:15:08.890561,"['134.00', '0.65', '15.43']"
